p,m,phim,nSlots,init(p),init(p^2),keyGen,encode(F_p),encode(F_p^d),encode(Z_p^r),encode(R_(p^r)^d),encrypt,decrypt,decode(p),decode(p^2),level,addConst,add,multConst,mult,mult2,autoNative,autoTypical,inProd10
2,4051,4050,81,0,0,0.867508,0.00029475,0.001236,0.00493225,0.0206153,0.00855213,0.00237794,0.0030875,0.0773558,2,0.00046927,5.227e-05,0.000511925,0.011587,,0.0088472,3.53e-05,0.013562
2,4051,4050,81,0,0,0.867508,0.00029475,0.001236,0.00493225,0.0206153,0.00855213,0.00237794,0.0030875,0.0773558,4,0.00097568,9.981e-05,0.000983825,0.0188152,0.0314764,0.015456,6.415e-05,0.021698
2,4051,4050,81,0,0,0.867508,0.00029475,0.001236,0.00493225,0.0206153,0.00855213,0.00237794,0.0030875,0.0773558,8,0.00157674,2.788e-05,0.0017471,0.0274512,0.0401261,0.0189488,8.79e-05,0.118181
2,4051,4050,81,0,0,0.867508,0.00029475,0.001236,0.00493225,0.0206153,0.00855213,0.00237794,0.0030875,0.0773558,9,0.00152268,3.379e-05,0.0017272,0.0292464,0.0416522,0.0196944,0.000109526,0.117962
2,4369,4096,256,0,0,0.701922,0.00039175,0.001935,0.00490725,0.00808,0.0174241,0.00570494,0.00769113,0.0621304,2,0.00079853,4.603e-05,0.000850875,0.0176797,,0.0127875,7.58611e-05,0.01976
2,4369,4096,256,0,0,0.701922,0.00039175,0.001935,0.00490725,0.00808,0.0174241,0.00570494,0.00769113,0.0621304,4,0.00160673,7.796e-05,0.00169922,0.0266828,0.052624,0.0224452,0.000101938,0.031242
2,4369,4096,256,0,0,0.701922,0.00039175,0.001935,0.00490725,0.00808,0.0174241,0.00570494,0.00769113,0.0621304,8,0.00335829,3e-05,0.00353658,0.0470123,0.0728361,0.0315168,0.000133844,0.226454
2,4369,4096,256,0,0,0.701922,0.00039175,0.001935,0.00490725,0.00808,0.0174241,0.00570494,0.00769113,0.0621304,9,0.00336559,2.869e-05,0.00348525,0.0453793,0.0700919,0.0314391,0.000130606,0.224522
2,4859,4704,168,0,0,0.679439,0.00036025,0.001506,0.00678575,0.0136948,0.0168413,0.0061915,0.00600463,0.077017,2,0.00080352,5.289e-05,0.000865375,0.019799,,0.0140577,6.55e-05,0.021397
2,4859,4704,168,0,0,0.679439,0.00036025,0.001506,0.00678575,0.0136948,0.0168413,0.0061915,0.00600463,0.077017,4,0.00159405,8.844e-05,0.00171593,0.0283038,0.0562016,0.0228035,0.000100071,0.032651
2,4859,4704,168,0,0,0.679439,0.00036025,0.001506,0.00678575,0.0136948,0.0168413,0.0061915,0.00600463,0.077017,8,0.0033769,3.302e-05,0.00361395,0.0492642,0.0769126,0.0342899,0.000136037,0.243608
2,4859,4704,168,0,0,0.679439,0.00036025,0.001506,0.00678575,0.0136948,0.0168413,0.0061915,0.00600463,0.077017,11,0.00335704,3.205e-05,0.00355107,0.0492884,0.0769846,0.0343625,0.0001409,0.241793
2,10261,9900,330,0,0,3.65021,0.0007625,0.00316425,0.016603,0.0318162,0.0562309,0.0213291,0.0225831,0.321722,2,0.00168352,0.00010999,0.00182747,0.0521713,,0.0407423,0.00015675,0.05728
2,10261,9900,330,0,0,3.65021,0.0007625,0.00316425,0.016603,0.0318162,0.0562309,0.0213291,0.0225831,0.321722,4,0.00339478,0.00018751,0.00362728,0.0602341,0.133924,0.048168,0.000247483,0.069708
2,10261,9900,330,0,0,3.65021,0.0007625,0.00316425,0.016603,0.0318162,0.0562309,0.0213291,0.0225831,0.321722,8,0.00679144,0.0003632,0.00724255,0.11873,0.235904,0.103744,0.000421034,0.138235
2,10261,9900,330,0,0,3.65021,0.0007625,0.00316425,0.016603,0.0318162,0.0562309,0.0213291,0.0225831,0.321722,16,0.0123103,0.00013639,0.0128273,0.195612,0.359913,0.142645,0.000566233,0.805199
2,10261,9900,330,0,0,3.65021,0.0007625,0.00316425,0.016603,0.0318162,0.0562309,0.0213291,0.0225831,0.321722,23,0.0121643,0.00013788,0.0128046,0.19798,0.361167,0.142623,0.000561207,0.875644
2,11023,10800,240,0,0,3.4023,0.00080175,0.00322075,0.0169945,0.0469567,0.0648866,0.0245184,0.0190179,0.39524,2,0.00171168,0.00012101,0.00185552,0.0552608,,0.0434238,0.000182931,0.061381
